evaluator,time,time_s_mean,time_s_std,time_s_count,iterations_mean,iterations_std,iterations_count,nodes_created_mean,nodes_created_std,nodes_created_count,max_depth_mean,max_depth_std,max_depth_count,eval_calls_mean,eval_calls_std,eval_calls_count,eval_cache_hits_mean,eval_cache_hits_std,eval_cache_hits_count,eval_cache_hit_rate_mean,eval_cache_hit_rate_std,eval_cache_hit_rate_count,throughput_iter_per_s_mean,throughput_iter_per_s_std,throughput_iter_per_s_count,throughput_eval_per_s_mean,throughput_eval_per_s_std,throughput_eval_per_s_count,root_children_count_mean,root_children_count_std,root_children_count_count,best_child_visits_mean,best_child_visits_std,best_child_visits_count,root_visit_entropy_mean,root_visit_entropy_std,root_visit_entropy_count,convergence_point_mean,convergence_point_std,convergence_point_count,avg_backprop_depth_mean,avg_backprop_depth_std,avg_backprop_depth_count,skipped_terminals_mean,skipped_terminals_std,skipped_terminals_count,reused_visits_mean,reused_visits_std,reused_visits_count
NN,1.0,8.903070811518324,6.304306073861434,1528,8131.125,83794.28824886378,1528,130.6708115183246,34.08828841122159,1528,4.321989528795812,1.3251832982486156,1528,130.48560209424085,34.25635934198837,1528,9.549738219895287,25.37671921513813,1528,0.060041623036649214,0.11824858538476316,1528,8028.984489528796,83779.00084132825,1528,31.188285340314135,41.890688825639614,1528,22.643979057591622,14.534387213145358,1528,54.88350785340314,33.59147520647787,1528,1.9717384162303664,0.676031893898812,1528,0.3904278795811518,0.33967462790691305,1528,3.7150130890052355,0.7951704251716084,1528,8000.454188481675,83805.5439144425,1528,12.859947643979057,17.87990257361011,1528
NN,5.0,9.943853015681544,4.91611900172533,1658,72167.06031363088,428766.6965930346,1658,225.083835946924,255.39470599842852,1658,4.8232810615199035,1.9160443421165247,1658,224.70506634499398,254.77475204045203,1658,48.11942098914355,151.8691714442084,1658,0.08367689987937274,0.1483062437878077,1658,14420.525633293124,85749.14144688364,1658,33.15850422195416,55.485951209179895,1658,24.21351025331725,14.097693827554817,1658,87.86188178528347,104.49724846709128,1658,2.0392927020506635,0.698996657300402,1658,0.35198860072376353,0.3196041559813504,1658,3.900790108564536,1.0382886158596014,1658,71941.97647768396,428788.6764073037,1658,24.853437876960193,44.72292075838961,1658
NN,10.0,13.703846773238602,3.958175572966001,1689,388158.93013617524,1412900.8580339039,1689,349.744819419775,481.5139649790934,1689,5.197750148016578,1.8433869653135002,1689,349.141503848431,481.37612840970144,1689,98.73830669034932,363.45154433285416,1689,0.10396116044997039,0.1705616057902323,1689,38814.934280639434,141285.28825046422,1689,29.54298401420959,47.53167464341984,1689,24.219064535227947,14.117796282465703,1689,149.65541740674956,267.07597993790665,1689,2.045650562462996,0.7145376824284141,1689,0.3043371817643576,0.31949578237522946,1689,4.05449378330373,1.083401368919102,1689,387809.1853167555,1412975.6366152165,1689,46.16459443457667,124.0813786691347,1689
NN,20.0,24.481585442622954,4.99406284232407,1525,609242.1016393442,2735101.5519248494,1525,869.7088524590164,2043.021272953165,1525,5.87344262295082,2.1102447312124535,1525,869.0649180327869,2042.3138594835334,1525,411.8898360655738,1809.2431084990264,1525,0.1266985573770492,0.20821596950893892,1525,30458.50026229508,136753.5036101961,1525,40.435475409836066,102.01505141759777,1525,25.64983606557377,14.395998014426636,1525,306.4485245901639,637.9637601961487,1525,2.089435081967213,0.7458591394235404,1525,0.31184118032786884,0.3305317739121842,1525,4.312773770491803,1.2375889816496168,1525,608372.3927868853,2735259.84067445,1525,89.96852459016394,311.41125774382897,1525
NN,40.0,43.50251213720316,5.787797328740187,1516,1895807.0870712402,6393369.6441943515,1516,1349.6912928759893,2315.8947295519247,1516,6.49802110817942,2.4014563875016135,1516,1348.581134564644,2314.974688685475,1516,512.1062005277045,1835.6912331777064,1516,0.13540547493403693,0.20605373547693506,1516,47393.59729551451,159833.042638436,1516,32.65501319261214,58.32743475259566,1516,26.771767810026386,13.802353835278865,1516,659.8403693931399,1520.0489724978202,1516,2.134650395778364,0.8655190443991763,1516,0.2737755277044855,0.329031482641142,1516,4.469307387862797,1.4479511809042531,1516,1894457.395778364,6393691.8820877,1516,249.78496042216358,704.6906930486391,1516
TRAD,1.0,1.0679843018213357,0.26730172679474135,1153,25128.405030355592,120569.57072322103,1153,2154.0919340849955,2217.9911128339154,1153,7.740676496097138,2.225456857032129,1153,2152.486556808326,2217.7718552123997,1153,694.8820468343451,1666.765187181437,1153,0.16691812662619254,0.19536380057639657,1153,25054.690980052037,120541.17646973206,1153,2081.7339982653943,2179.3876924811384,1153,20.028620988725066,13.648745093521494,1153,836.3911535125759,1128.9224069258134,1153,1.981828534258456,0.8005247262273716,1153,0.28826313963573286,0.3375815639654664,1153,5.01836947094536,1.2078585757724984,1153,22974.313096270598,120916.6422773636,1153,240.8508239375542,580.7514306955795,1153
TRAD,5.0,5.002111254295533,0.7685662042421295,1164,168019.30240549828,657429.5832262181,1164,8342.233676975946,8974.069647022632,1164,10.450171821305842,3.676762329254652,1164,8336.639175257733,8971.359327283564,1164,3316.6039518900343,7572.535248046573,1164,0.20218505154639174,0.23056624472618284,1164,33575.3706185567,131480.61836065323,1164,1641.2406357388318,1675.2295311702344,1164,23.488831615120276,14.053296624321815,1164,5959.515463917526,8592.066608961451,1164,1.6548155498281787,0.8161526816934324,1164,0.21528780068728523,0.3011274883438236,1164,6.223917525773196,2.157591635303416,1164,159677.06872852234,659230.6428686368,1164,2734.664089347079,5837.424378859093,1164
TRAD,10.0,9.94682268274303,1.215464011573069,1327,396391.2871137905,1284809.5126707053,1327,14722.64280331575,17166.846635308946,1327,12.370007535795027,4.299262125817541,1327,14714.184626978145,17161.31527641209,1327,5823.351168048229,14496.350584968599,1327,0.20265305199698566,0.22727032877552242,1327,39656.877392614915,128470.01008637322,1327,1491.1387339864357,1759.0377732268348,1327,25.56066314996232,13.343327700766265,1327,16113.558402411454,21761.33143584398,1327,1.355599397136398,0.7471510763692282,1327,0.15083594574227582,0.26677180052640415,1327,7.16255463451394,2.691829971808388,1327,381668.64431047474,1288547.0179002122,1327,10041.434815373023,16327.47091470912,1327
TRAD,20.0,19.921140184266477,2.0923543875298183,1411,407534.591070163,1924670.4583897137,1411,27040.398299078668,29520.149404426884,1411,16.866761162296243,8.85465582939848,1411,27011.221828490434,29492.775286362794,1411,11271.39546420978,25258.443030795694,1411,0.20573281360737064,0.23918223784643144,1411,20368.40616583983,96232.89698458392,1411,1342.8373493975903,1457.9474834595442,1411,29.773919206236712,12.91551599249264,1411,48273.46350106307,63124.102596252225,1411,0.9590336640680369,0.6918480323700394,1411,0.07956881644223955,0.2151836828556516,1411,9.523231750531538,5.352977223117816,1411,380494.1927710843,1929181.175510655,1411,34099.31750531538,48758.2366811657,1411
TRAD,40.0,39.51658909634055,4.909645322281286,1339,1416206.0657206872,4793191.352658303,1339,59874.695294996265,69630.67432012131,1339,17.796116504854368,7.72574268302755,1339,59836.7572815534,69611.0202787262,1339,30540.56833457804,62397.216978947545,1339,0.2639022404779686,0.27335116826308087,1339,35404.25817774459,119828.05509206804,1339,1495.1234503360718,1718.8622325761662,1339,30.041075429424943,12.726769359675146,1339,103470.71321882002,135658.22579044473,1339,0.9205232262882749,0.7826195628688944,1339,0.05744578043315907,0.1768308473308813,1339,9.799910380881254,4.690581902800566,1339,1356331.370425691,4807685.64877009,1339,72787.3427931292,111473.45107268168,1339
